Levels,Forecast_Methods,Target_Service_Level,Senario,Achieved_Service_Level,Holding_Costs,Backlogging_Costs
10,ETS_TD,99%,MinT_IR,0.9928548001686736,20.734828373681893,2.286507378715214
11,ETS_TD,99%,MinT_IR,0.9654102047509722,7.005471677561939,6.730447321719766
12,ETS_TD,99%,MinT_IR,0.9100489621890081,2.3117963917394073,10.718304366104055
10,ETS_MinT,90%,MinT_IR,0.9490113854659608,10.56003456545967,1.5540858536680426
11,ETS_MinT,90%,MinT_IR,0.8871644098767746,3.729037996230689,2.085978200870869
12,ETS_MinT,90%,MinT_IR,0.8380581455278077,1.4051442652541921,1.849469598010655
10,ETS_MinT,95%,MinT_IR,0.9737267488169423,13.452115850487665,1.697453731838724
11,ETS_MinT,95%,MinT_IR,0.9226405222633495,4.643591362857467,2.973284174599416
12,ETS_MinT,95%,MinT_IR,0.864862015649159,1.6604162471844204,3.1902786166703336
10,ETS_MinT,99%,MinT_IR,0.9911680644707866,18.978878155714316,2.827482074970544
11,ETS_MinT,99%,MinT_IR,0.9605139858501617,6.426703029193665,7.769076927973105
12,ETS_MinT,99%,MinT_IR,0.9027421168533009,2.1565210304871734,11.643204632408187
